Unnamed: 0,type,is_practice,original_item_cost,highlight_cost,click_values,payoff_matrix,original_cost_matrix,final_cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,is_control,highlight_index,selected_option_highlight_value,trial_type,trial_index,time_elapsed,nudge_highlighted_values_are_even,highlight_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight_check,highlight_num_reveals,participant_id,weights_sum
11,traffic-light-mouselab,False,3,1,"[0, 0, 0]","[[5, 4, 8, 2, 5], [5, 4, 3, 4, 6], [3, 5, 7, 3, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[0, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[15, 2, 13]",2,16,11,0,0.041,0.04,0.001,[0],1,5,3,8716,3,124,121,False,1,5,traffic-light-mouselab,15,439204,True,5,0,0,2,0,0,30
12,traffic-light-mouselab,False,3,1,"[8, 6]","[[5, 7, 6, 7, 4], [5, 3, 4, 5, 1], [5, 4, 4, 4, 3]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [1, 0, 1, 0, 1], [3, 3, 3, 3, 3]]","[20, 8, 2]",8,20,12,3,0.063,0.0623333333333333,0.0006666666666666,"[8, 6]",2,5,3,9140,2,188,186,False,1,5,traffic-light-mouselab,16,450697,True,5,1,2,8,2,0,30
13,traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[5, 2, 5, 6, 3], [8, 6, 4, 3, 6], [3, 5, 9, 7, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 17, 8]",17,14,13,0,0.062,0.061,0.001,[5],1,5,3,8184,3,185,182,True,1,8,traffic-light-mouselab,17,460585,True,8,1,3,17,1,0,30
14,traffic-light-mouselab,False,3,1,"[0, 2, 4]","[[6, 6, 7, 7, 9], [5, 7, 7, 3, 3], [4, 6, 7, 3, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[24, 2, 4]",24,28,14,4,0.079,0.078,0.001,"[0, 2, 4]",3,5,3,4784,3,238,235,False,0,9,traffic-light-mouselab,18,467978,True,9,1,3,24,3,0,30
15,traffic-light-mouselab,False,3,1,"[5, 7, 9]","[[4, 4, 5, 9, 7], [5, 3, 3, 4, 7], [4, 4, 2, 3, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 0], [3, 3, 3, 3, 3]]","[3, 26, 1]",26,32,15,4,0.07,0.069,0.001,"[5, 7, 9]",3,5,3,6100,3,209,206,False,1,7,traffic-light-mouselab,19,475671,True,7,1,3,26,3,0,30
16,traffic-light-mouselab,False,3,1,"[5, 7, 9]","[[4, 4, 5, 3, 8], [6, 8, 5, 5, 7], [3, 4, 4, 3, 2]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 0], [3, 3, 3, 3, 3]]","[8, 12, 10]",12,4,16,4,0.056,0.055,0.001,"[5, 7, 9]",3,5,3,7751,3,168,165,False,1,7,traffic-light-mouselab,20,484879,True,7,0,3,12,3,0,30
17,traffic-light-mouselab,False,3,1,"[10, 10, 10, 11, 11, 11, 14, 14, 14]","[[4, 5, 4, 4, 6], [8, 4, 5, 6, 1], [3, 3, 8, 3, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 3, 3, 0]]","[7, 1, 22]",7,24,17,4,0.058,0.055,0.003,"[10, 11, 14]",3,5,3,11168,9,175,166,True,0,6,traffic-light-mouselab,21,497524,True,6,1,0,7,0,0,30
18,traffic-light-mouselab,False,3,1,"[10, 10, 10, 12, 12, 12]","[[3, 6, 6, 6, 2], [6, 4, 7, 8, 3], [5, 6, 8, 4, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[4, 3, 23]",3,26,18,2,0.076,0.074,0.002,"[10, 12]",2,5,3,8012,6,229,223,True,1,7,traffic-light-mouselab,22,507512,True,7,0,0,3,0,0,30
19,traffic-light-mouselab,False,3,1,"[0, 3, 4, 1]","[[7, 6, 6, 6, 4], [4, 7, 6, 6, 3], [4, 2, 4, 5, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 0, 1, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[4, 21, 5]",4,22,19,0,0.044,0.0426666666666667,0.0013333333333333,"[0, 3, 4, 1]",4,5,3,7511,4,132,128,False,0,7,traffic-light-mouselab,23,516392,True,7,1,4,4,4,0,30
20,traffic-light-mouselab,False,3,1,"[10, 10, 10, 12, 12, 12]","[[4, 3, 5, 6, 6], [6, 4, 9, 3, 8], [5, 5, 4, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[4, 1, 25]",25,30,20,0,0.049,0.047,0.002,"[10, 12]",2,5,3,5669,6,147,141,True,2,5,traffic-light-mouselab,24,523257,True,5,1,6,25,2,0,30
